"","lastname","firstname","middle"
"1714","Hamilton","Maxwell","J"
"1715","Haseltine","William","Alan"
"1716","Gray-Little","Bernadette",NA
"1717","Gund","Agnes",NA
"1718","Hamilton","Stevie","Bernard"
"1719","Hashemi","Noosheen",NA
"1720","Greathead","R","Scott"
"1721","Gunderson","Bryan",NA
"1722","Hammer","Craig","S"
"1723","Hass","Ryan","L"
"1724","Greco","Richard","Jr"
"1725","Gundlach","Andrew","S"
"1726","Hammonds","D","Holly"
"1727","Hathaway","James","Lindley"
"1728","Green","Carl","J"
"1729","Gupta","Sanjay","K"
"1730","Hamre","John","J"
"1731","Hathaway","Oona","A"
"1732","Green","Daniel","Rogers"
"1733","Gupte","Pranay",NA
"1734","Hancock","Ellen",NA
"1735","Hathaway","Robert","M"
"1736","Green","Eric","F"
"1737","Gustafson","Ellen",NA
"1738","Hand","Lloyd","N"
"1739","Hau","Sandor",""
"1740","Green","Jerrold","D"
"1741","Gutfreund","John","H"
"1742","Hand","Scott","M"
"1743","Hauge","John","Resor"
"1744","Green","Mark","Andrew"
"1745","Guth","John","HJ"
"1746","Handelman","Stephen",NA
"1747","Hauser","Rita","E"
"1748","Green","Michael","J"
"1749","Gutow","Steve",NA
"1750","Handler","Scott",NA
"1751","Hauser","William","Locke"
"1752","Green","Robert","Shane"
"1753","Gwertzman","Bernard","M"
"1754","Handler","Stephenie","Gosnell"
"1755","Hausman","Victoria",NA
"1756","Green","Viviana","L?pez"
"1757","Gyari","Lodi","Gyaltsen"
"1758","Hanft","Noah",NA
"1759","Havell","Theresa","A"
"1760","Greenberg","Arthur","N"
"1761","Hansell","Herbert","J"
"1762","Hawkins","Ashton",NA
"1763","Greenberg","David",NA
"1764","Hanson","Gordon","H"
"1765","Hawkins","Neil","C"
"1766","Greenberg","Evan","G"
"1767","Haas","Mimi","L"
"1768","Hanson","Stephanie",NA
"1769","Hawley","F","William"
"1770","Greenberg","Glenn","H"
"1771","Haass","Richard","N"
"1772","Hantz","Giselle","P"
"1773","Hayden","Michael","V"
"1774","Greenberg","Jeffrey","W"
"1775","Haave","Christopher","E"
"1776","Hantzopoulos","Paraskeve",NA
"1777","Hayes","Jeff","W"
"1778","Greenberg","Karen","J"
"1779","Hachigian","Nina","L"
"1780","Hardin","Edward","J"
"1781","Hayes","Margaret","Daly"
"1782","Greenberg","Lawrence","Scott"
"1783","Haddad","Yvonne","Yazbeck"
"1784","Hardin","Katherine","A"
"1785","Hayes","Michael","Edward"
"1786","Greenberg","Maurice","R"
"1787","Haddon","Dayle",NA
"1788","Harding","Deborah","A"
"1789","Hayes","Rita","Derrick"
"1790","Greenberg","Sanford","D"
"1791","Hadley","Stephen","J"
"1792","Harding","Harry",NA
"1793","Haykel","Bernard","A"
"1794","Greenberger","Robert",NA
"1795","Hafner","Joseph","A"
"1796","Hardman","Hilliard",NA
"1797","Haynes","Lukas","Harrison"
"1798","Stephen",NA,NA
"1799","Hagel","Chuck",NA
"1800","Hardman","John","Boisfeuillet"
"1801","Haynes","Ulric","Jr"
"1802","Greene","Wade",NA
"1803","Hagen","Katherine","A"
"1804","Hardt","John","P"
"1805","Hays","Laurie",NA
"1806","Greenspan","Alan",NA
"1807","Haggard","Stephan",NA
"1808","Hargrove","John","Lawrence"
"1809","Hayward","Thomas","B"
"1810","Greenwald","G","Jonathan"
"1811","Hahn","Natalie","D"
"1812","Hariharan","Hari","N"
"1813","Healey","Kerry","Murphy"
"1814","Greenway","Hugh","DS"
"1815","Haider","Ziad",NA
"1816","Harlan","Joshua","D"
"1817","Healey","Sean","M"
"1818","Green-Weiskel","Lucia",NA
"1819","Hailston","Earl","B"
"1820","Harland","Christopher",NA
"1821","Healy","Thomas","P"
"1822","Gregg","Donald","P"
"1823","Hajari","Nisid","J"
"1824","Munro",NA,NA
"1825","Heaney","Andrew","P"
"1826","Gregorian","Vartan",NA
"1827","Hajjar","David","Phillip"
"1828","Harley","Jeffrey","Allan"
"1829","Heck","Charles","B"
"1830","Gregson","Wallace","C"
"1831","Hakakian","Roya",NA
"1832","Harlow","D","Brooke"
"1833","Hecker","Siegfried","S"
"1834","Grenier","Robert","L"
"1835","Hake","James","D"
"1836","Harman","Jane",NA
"1837","Heckman","Leila",NA
"1838","Grenier","Stephen","M"
"1839","Haldeman","William","E"
"1840","Harmon","Deborah","L"
"1841","Hedstrom","Mitchell","W"
"1842","Gresh","Geoffrey","F"
"1843","Hale","Christopher","D"
"1844","Harmon","James","A"
"1845","Heep-Richter","Barbara","D"
"1846","Griego","Linda",NA
"1847","Hale","David","D"
"1848","Harold","Jacob",NA
"1849","Heer","Paul",NA
"1850","Griffin","Andrea","C"
"1851","Hale","Lyric","Hughes"
"1852","Harold","Scott","W"
"1853","Heginbotham","Stanley","J"
"1854","Griffin","Derrick","L"
"1855","Hall","C","Barrows"
"1856","Harpel","James","W"
"1857","Hegseth","Pete",NA
"1858","Grimes","William","W"
"1859","Hall","John","P"
"1860","Harper","Conrad","K"
"1861","Hehir","J","Bryan"
"1862","Grinberg","Itai",NA
"1863","Hall","Kathryn","Walt"
"1864","Harrington","Maureen","Ann"
"1865","Heimann","John","G"
"1866","Grissom","Janet","Mullins"
"1867","Hall","Shawn","D"
"1868","Harris","David","A"
"1869","Heimbold","Charles","A"
"1870","Grose","Peter",NA
"1871","Hallen","John","R"
"1872","Harris","Joshua","J"
"1873","Heimowitz","James","B"
"1874","Gross","David","A"
"1875","Hallett","Stephanie","L"
"1876","Harris","Karen",NA
"1877","Heineman","Benjamin","W"
"1878","Gross","Martin","J"
"1879","Halper","James","D"
"1880","Harris","Martha","Caldwell"
"1881","Heineman","Melvin","L"
"1882","Gross","Patrick","W"
"1883","Halperin","David","R"
"1884","Harris","Maya","L"
"1885","Heintz","Stephen","B"
"1886","Grossman","Gene","M"
"1887","Halperin","Morton","H"
"1888","Harrison","Hope","M"
"1889","Heinz","Kerry,","Teresa"
"1890","Grossman","Marc",NA
"1891","Haltzel","Michael","H"
"1892","Harrison","Michael","L"
"1893","Heleniak","David","W"
"1894","Grove","Paul","C"
"1895","Ham","Carter","F"
"1896","Harrison","Todd","Samuel"
"1897","Helfer","Michael","Stevens"
"1898","Groves","Ray","J"
"1899","Hamburg","David","A"
"1900","Harrison","William","B"
"1901","Helfer","Ricki","Tigert"
"1902","Gruppo","David","M"
"1903","Hamburg","Margaret","Ann"
"1904","Harrison","Fullerton,","Jessica"
"1905","Helfstein","Scott",NA
"1906","Gudwin","Ella","R"
"1907","Hamel","Michael","A"
"1908","Hart","Clifford","Awtrey"
"1909","Helgerson","John","L"
"1910","Guengerich","Galen","J"
"1911","Hamilton","Charles","V"
"1912","Hart","Gary",NA
"1913","Heller","Bridgette","P"
"1914","Guenov","Tressa","S"
"1915","Hamilton","Daniel",NA
"1916","Hart","Robert","C"
"1917","Heller","Rebecca","M"
"1918","Hamilton","Edward","K"
"1919","Hart","Todd","Christopher"
"1920","Heller","Richard","M"
"1921","Hamilton","Hugh","Gerard"
"1922","Hartig","Luke","R"
"1923","Hellman","Steven","E"
"1924","Hamilton","John","Maxwell"
"1925","Hartley","Jane","D"
"1926","Hellmann","Donald","Charles"
"1927","Hamilton","Lee","H"
"1928","Hartley","Scott","E"
"1929","Helm","Robert","W"
"1930","Helm","Suzanne","E"
"1931","Higgins","Robert","F"
"1932","Holford","Mand?","N"
"1933","Hudson","Michael","C"
"1934","Helman","Joseph","J"
"1935","Hightower","Edward","T"
"1936","Holgate","Laura","SH"
"1937","Huebner","David",""
"1938","Helprin","Mark",NA
"1939","Hildner","Laura","J"
"1940","Hollick","Ann","Lorraine"
"1941","Huebner","Lee","W"
"1942","Henderson","Simon",NA
"1943","Hill","Christopher","R"
"1944","Holliday","Stuart","W"
"1945","Huey","John","W"
"1946","Hendricks","Darryll","E"
"1947","Hill","Fiona",NA
"1948","Hollifield","James","Frank"
"1949","Huey","Evans,","Gay"
"1950","Hendrickson","David","C"
"1951","Hill","James","T"
"1952","Holloway","Dwight","F"
"1953","Hufbauer","Gary","C"
"1954","Henkin","Alice","H"
"1955","Hill","Janine","W"
"1956","Holmes","Henry","Allen"
"1957","Hughes","Christopher",NA
"1958","Hennessy","James","R"
"1959","Hill","Joseph","C"
"1960","Holmes","Kim","R"
"1961","Hughes","Lynn","N"
"1962","Henninger","Daniel","P"
"1963","Hill","J","Tomilson"
"1964","Holmes","Stephen","T"
"1965","Hughes","R","John"
"1966","Henrikson","Alan","K"
"1967","Hill","Pamela",NA
"1968","Holmgren","Brett","Michael"
"1969","Hughes","Thomas","Lowe"
"1970","Henry","Emil","W"
"1971","Hill","Raymond","D"
"1972","Holt","Blaine","D"
"1973","Hull","Edmund","J"
"1974","Henry","Nancy","L"
"1975","Hill","Shephard","William"
"1976","Holtschneider","Dennis","H"
"1977","Hulsman","John","C"
"1978","Henry","Peter","Albert"
"1979","Hill","Steven",NA
"1980","Holtzman","Elizabeth",NA
"1981","Hultman","Tamela",NA
"1982","Henry","Peter","Blair"
"1983","Hill","Thomas","Matthew"
"1984","Holum","John","D"
"1985","Hultquist","Timothy","A"
"1986","Henry","Robert","H"
"1987","Hillen","John",NA
"1988","Hooda","Sheila",NA
"1989","Hume","Cameron","R"
"1990","Hensman","Chris","D"
"1991","Hillman","Jennifer","Anne"
"1992","Hooker","Richard","D"
"1993","Hume","Ellen","H"
"1994","Hentov","Elliot",NA
"1995","Hills","Carla","A"
"1996","Hope","Judith","Richards"
"1997","Hummer-Tuttle","Maria",NA
"1998","Heppner","Donald","Gray"
"1999","Hiltz","William","O"
"2000","Hope","Richard","O"
"2001","Hunt","David","A"
"2002","Herberger","Roy","A"
"2003","Himmelberger","Liesl","K"
"2004","Hopkins","Jonathan","James"
"2005","Hunt","Kathleen","E"
"2006","Herbst","Jeffrey","I"
"2007","Hindery","Leo","J"
"2008","Horlick","Gary","N"
"2009","Hunt","Swanee",NA
"2010","Hermann","Charles","F"
"2011","Hinerfeld","Ruth",NA
"2012","Hormats","Robert","D"
"2013","Hunter","Robert","E"
"2014","Hernandez","Antonia",NA
"2015","Hines","Rachel",NA
"2016","Horn","Karen","N"
"2017","Hunter","Shireen","T"
"2018","Herrera-Flanigan",NA,NA
"2019","Hinman","Katie",NA
"2020","Horn","Sally","K"
"2021","Hunter","Thomas","O"
"2022","Jessica","Rae",NA
"2023","Hirsch","John","L"
"2024","Horner","Matina","Souretis"
"2025","Hunter","William","Curt"
"2026","Herrnstadt","Owen","Edward"
"2027","Hirschhorn","Abigail","M"
"2028","Hornig","George","R"
"2029","Huntington","Patricia",NA
"2030","Hersh","Kenneth","A"
"2031","Hirsh","Michael","P"
"2032","Hornik","Richard","H"
"2033","Skinner",NA,NA
"2034","Herskovits","Jean",NA
"2035","Hirsi","Ali,","Ayaan"
"2036","Hornthal","James",NA
"2037","Hurd","Joseph","K"
"2038","Hersman","Rebecca","KC"
"2039","Hitz","Frederick","P"
"2040","Horowitz","Michael","C"
"2041","Hurlock","James","B"
"2042","Herspring","Dale","R"
"2043","Hoagland","Jim",NA
"2044","Horton","Robert","Scott"
"2045","Hurlock","Matthew","H"
"2046","Hertog","Roger",NA
"2047","Hobson","H","Lee"
"2048","Hosmer","Bradley","C"
"2049","Hurst","Robert","J"
"2050","Hertzberg","Hendrik",NA
"2051","Hochberg","Fred","Philip"
"2052","Hoston","Germaine","A"
"2053","Hurwitz","Sol",NA
"2054","Hertzberg","Robert","M"
"2055","Hockfield","Susan",NA
"2056","Houck","James","W"
"2057","Huszar","Andrew","C"
"2058","Herz","Barbara","K"
"2059","Hodes","Matthew",NA
"2060","Houghton","Amory","Jr"
"2061","Hutchings","Robert","L"
"2062","Herzfeld","Charles","M"
"2063","Hodges","Eliot","I"
"2064","Houghton","James","R"
"2065","Hutchins","Glenn","H"
"2066","Herzstein","Jessica",NA
"2067","Hodgkinson","Sandra","Lynn"
"2068","House","Karen","Elliott"
"2069","Huyck","Philip","M"
"2070","Hess","John","B"
"2071","Hodin","Michael","W"
"2072","Houser","Trevor",NA
"2073","Hyatt","Joel","Z"
"2074","Hess","Marlene",NA
"2075","Hoeber","Amoretta","M"
"2076","Howard","A","E"
"2077","Hyde","Dana","J"
"2078","Hessler","Curtis","A"
"2079","Hoehn","Andrew","R"
"2080","Howard","Christopher",NA
"2081","Hyland","Richard",NA
"2082","Hessman","Robin",NA
"2083","Hoehn","William","E"
"2084","Bernard",NA,NA
"2085","Hyman","Allen","I"
"2086","Hewko","John","P"
"2087","Hoenlein","Malcolm","I"
"2088","Howard","John","L"
"2089","Hewlett","Sylvia","Ann"
"2090","Hof","Frederic","C"
"2091","Howard","LeAnne","Noelani"
"2092","Hexter","James","R"
"2093","Hoffman","A","Michael"
"2094","Howard","Lyndsay","C"
"2095","Ibarg?en","Alberto",NA
"2096","Heyman","Ronnie","F"
"2097","Hoffman","Auren",NA
"2098","Howard","M","William"
"2099","Ignatius","Adi",NA
"2100","Heyman","William","H"
"2101","Hoffman","Bruce",NA
"2102","Howell","Ernest","M"
"2103","Ignatius","David","R"
"2104","Hiatt","Fred",NA
"2105","Hoffman","Reid",NA
"2106","Howson","Nicholas","Calcina"
"2107","Ijaz","Mansoor",NA
"2108","Hicks","Irvin",NA
"2109","Hoffmann","Stanley",NA
"2110","Hrinak","Donna","J"
"2111","Ikenberry","G","John"
"2112","Hicks","John","F"
"2113","Hogan","Jeffrey","N"
"2114","Hruby","Aubrey",NA
"2115","Immergut","Mel","M"
"2116","Hicks","Kathleen","Holland"
"2117","Hogan","Timothy",NA
"2118","Hrynkow","Sharon","H"
"2119","Inboden","William","Charles"
"2120","Hicks","Peggy","L"
"2121","Hoge","James","F"
"2122","Hsu","Ta-Lin",NA
"2123","Inderfurth","Karl","F"
"2124","Higginbotham","F","Michael"
"2125","Hoge","Warren",NA
"2126","Huang","Cindy","Y"
"2127","Indig","Jennifer","Buntman"
"2128","Higgins","Heather",NA
"2129","Hoguet","George","Roberts"
"2130","Huang","Eugene","J"
"2131","Indyk","Martin","S"
"2132","Richardson",NA,NA
"2133","Hoinkes","Mary","Elizabeth"
"2134","Hubbard","Allan","B"
"2135","Inman","Bobby","R"
"2136","Holcomb","Scott",NA
"2137","Hubbard","R","Glenn"
"2138","Irvin","Patricia","L"
"2139","Holden","John","L"
"2140","Huber","Richard","L"
"2141","Isaac","Nicole","M"
"2142","Holdren","John","P"
"2143","Huberman","Benjamin",NA
"2144","Isaacs","Maxine",NA
"2145","Holewinski","Sarah","Theresa"
"2146","Hudson","Manley","O"
"2147","Isaacson","Walter","S"
"2148","Iseman","Frederick","J"
"2149","Jimenez","Marguerite","Rose"
"2150","Kahn","Joseph","F"
"2151","Kassinger","Theodore","W"
"2152","Isenberg","Steven","L"
"2153","Joeck","Neil",NA
"2154","Kahn","Thomas","S"
"2155","Kassof","Allen","H"
"2156","Isham","Christopher",NA
"2157","John","Eric","G"
"2158","Kaiser","Miranda","Margaret"
"2159","Kasten","Robert","W"
"2160","Iskenderian","Mary","Ellen"
"2161","Johns","Leslie",NA
"2162","Kaiser","Robert","G"
"2163","Kathwari","Farooq",NA
"2164","Ispahani","Bartos,","Mahnaz"
"2165","Johns","Raymond","E"
"2166","Kalaris","Thomas","Llewellyn"
"2167","Katona","Peter",NA
"2168","Istel","Yves-Andr?",NA
"2169","Johnson","Brett",NA
"2170","Kalb","Marvin",NA
"2171","Katz","Daniel","Roger"
"2172","Istrabadi","Feisal","Amin"
"2173","Johnson","David","E"
"2174","Kalicki","Jan","H"
"2175","Katz","Robert","J"
"2176","Rasoul",NA,NA
"2177","Johnson","James","A"
"2178","Kalir","Erez","C"
"2179","Katz","Sherman","E"
"2180","Itoh","William","H"
"2181","Johnson","James","E"
"2182","Kalmbach","Charles","F"
"2183","Katz","Stanley","N"
"2184","Ivester","M","Douglas"
"2185","Johnson","Jay","L"
"2186","Kamarck","Elaine","C"
"2187","Katzenstein","Peter","J"
"2188","Johnson","Jeh","Charles"
"2189","Kamin","David",NA
"2190","Kauffman","Richard","L"
"2191","Johnson","Jerry","Lavell"
"2192","Kaminsky","Howard",NA
"2193","Kaufman","Daniel","J"
"2194","Jabber","Paul",NA
"2195","Johnson","Karen","H"
"2196","Kamsky","Virginia","Ann"
"2197","Kaufman","Henry",NA
"2198","Jackelen","Henry","R"
"2199","Johnson","L","Oakley"
"2200","Kanak","Donald","P"
"2201","Kaufman","Robert","R"
"2202","Jacklin","Nancy","P"
"2203","Johnson","Larry","D"
"2204","Kandra","Robert","A"
"2205","Kaufman","Zachary","Daniel"
"2206","Jackson","Bruce","Pitcairn"
"2207","Johnson","Michelle","D"
"2208","Kanet","Roger","E"
"2209","Kausner","Gregory","M"
"2210","Jackson","Jesse","L"
"2211","Johnson","Robbin","S"
"2212","Kang","C","S"
"2213","Kavoukjian","Michael","E"
"2214","Jackson","Sarah",NA
"2215","Johnson","Robert","W"
"2216","Kang","Jane",NA
"2217","Kay","Kira",NA
"2218","Jackson","Shirley","Ann"
"2219","Johnson","Suzanne","Nora"
"2220","Kaniewski","Daniel","John"
"2221","Kaye","Charles","R"
"2222","Jacobs","Kenneth",NA
"2223","Johnson","Tana",NA
"2224","Kaniki","Mbago",NA
"2225","Kaye","Dalia","Dassa"
"2226","Jacobs","Lawrence","A"
"2227","Johnson","Thomas","Stephen"
"2228","Kann","Peter","R"
"2229","Kaye","David","A"
"2230","Jacobson","Mark","R"
"2231","Johnson","Willene","A"
"2232","Kansteiner","Walter","H"
"2233","Kayyem","Juliette","N"
"2234","Jacobson","Roberta","S"
"2235","Johnson","Wyatt","Thomas"
"2236","Kanter","Rosabeth","Moss"
"2237","Kazemi","Farhad",NA
"2238","Jacoby","Charles","H"
"2239","Jolie","Angelina",NA
"2240","Kantor","Laurence","G"
"2241","Kea","Charlotte","G"
"2242","Jacoby","Jonathan","Todd"
"2243","Jones","Alan","Kent"
"2244","Kantor","Mickey",NA
"2245","Kean","Thomas","H"
"2246","Jaffe","Amy","Myers"
"2247","Jones","Anita","K"
"2248","Kapadia","Gaurav","K"
"2249","Keane","John","M"
"2250","Jaffe","Eric",NA
"2251","Jones","Benjamin","F"
"2252","Kaplan","Ann","F"
"2253","Keck","Elizabeth","Ellen"
"2254","Jagannath","Ram","M"
"2255","Jones","David","L"
"2256","Kaplan","Eben","I"
"2257","Keefe","Patrick","SR"
"2258","Jakes","Susan","J"
"2259","Jones","Gina","Maria"
"2260","Kaplan","Gilbert",NA
"2261","Keen","Purl","Ken"
"2262","Jamal","Amaney","A"
"2263","Jones","James","R"
"2264","Kaplan","Helene","L"
"2265","Keene","Lonnie",NA
"2266","James","Francis","John"
"2267","Jones","Kermit",NA
"2268","Kaplan","Mark","N"
"2269","Keene","Tom",NA
"2270","Janes","Jackson",NA
"2271","Jones","Kerri-Ann",NA
"2272","Kaplan","Richard","N"
"2273","Keith","James","R"
"2274","Janis","Mark","Weston"
"2275","Jones","Stuart","Jr"
"2276","Kaplan","Stephen","S"
"2277","Keker","John","W"
"2278","Janke","Aleksandra",NA
"2279","Jonker","Jared","Christian"
"2280","Kaplan","Thomas","S"
"2281","Kelleher","Catherine","M"
"2282","Janklow","Morton","L"
"2283","Joost","Peter","Martin"
"2284","Kapnick","Scott","Bancroft"
"2285","Keller","Edmond","J"
"2286","Janow","Merit","E"
"2287","Jordan","Boris","Alexis"
"2288","Kapoor","Vikas",NA
"2289","Keller","Kenneth","H"
"2290","Jao","Richard","C"
"2291","Jordan","Eason",NA
"2292","Kapp","Robert","A"
"2293","Kellerman","Barbara","L"
"2294","Jaquette","Jane","S"
"2295","Jordan","Robert","W"
"2296","Kapstein","Ethan","B"
"2297","Kelley","Kevin","H"
"2298","Jarvis","Nancy","A"
"2299","Jordan","Vernon","E"
"2300","Karabell","Zachary",NA
"2301","Kelley","Paul","X"
"2302","Jayanti","Anuradha","T"
"2303","Jorisch","Avi",NA
"2304","Karafa","Kristian","C"
"2305","Kellner","Peter","Bicknell"
"2306","Jebb","Cindy","R"
"2307","Joseph","Richard","A"
"2308","Karafa","Lenore","J"
"2309","Kellogg","David",NA
"2310","Jeddy","Aly","Sheezar"
"2311","Josephson","William",NA
"2312","Karalekas","Anne",NA
"2313","Kelly","Alfred","F"
"2314","Jeffery","Reuben","III"
"2315","Joskow","Paul","L"
"2316","Karamanian","Susan","L"
"2317","Kelly","Arthur","L"
"2318","Jeffrey","James","Franklin"
"2319","Joulwan","George","A"
"2320","Karatnycky","Adrian",NA
"2321","Kelly","Francis","J"
"2322","Jehl","Douglas",NA
"2323","Judge","Barbara","Thomas"
"2324","Karatz","Bruce","E"
"2325","Kelly","James","P"
"2326","Jenevein","E","Patrick"
"2327","Jumper","John","P"
"2328","Karl","Jonathan","David"
"2329","Kelly","Jeffrey",NA
"2330","Jenkins","Carol",NA
"2331","Junz","Helen","B"
"2332","Karl","Terry","Lynn"
"2333","Kelly","Raymond","W"
"2334","Jennings","Elizabeth",NA
"2335","Juster","Kenneth","I"
"2336","Karlin","Mara","E"
"2337","Kelman","Herbert","C"
"2338","Jervis","Robert",NA
"2339","Karns","Margaret","P"
"2340","Kemble","Eugenia",NA
"2341","Jeter","Howard","F"
"2342","Karol","Adam",NA
"2343","Kemp","Geoffrey",NA
"2344","Jett","Dennis","C"
"2345","Kabir","Naureen","N"
"2346","Karp","Jonathan","D"
"2347","Kempe","Frederick","S"
"2348","Jilani","Erum","Rubina"
"2349","Kaden","David","M"
"2350","Karsner","Andy",NA
"2351","Kempler","Lee","S"
"2352","Kaden","Lewis","B"
"2353","Kasdin","Robert",NA
"2354","Kempner","Maximilian","W"
"2355","Kadlec","Robert","P"
"2356","Kass","Stephen","L"
"2357","Kendall","Donald","McIntosh"
"2358","Kahl","Colin","H"
"2359","Kassalow","Jordan","S"
"2360","Kennan","Christopher","J"
"2361","Kahler","Miles",NA
"2362","Kassel","Whitney","M"
"2363","Kennedy","Craig",NA
"2364","Kennedy","David","W"
"2365","Kirchick","James","R"
"2366","Kornbluh","Karen",NA
"2367","Kupchan","Clifford","A"
"2368","Kennedy","Edward","Jr"
"2369","Kireopoulos","Antonios",NA
"2370","Kornblum","John","C"
"2371","Kurth","James","R"
"2372","Kennedy","Joe",NA
"2373","Steve",NA,NA
"2374","Kosaraju","Akhila",NA
"2375","Kurtz-Phelan","Daniel",NA
"2376","Kennedy","Mark","R"
"2377","Kiriakou","Heather",NA
"2378","Kostiw","Michael","Vincent"
"2379","Kuryk","Hildy",NA
"2380","Kent","Andrew",NA
"2381","Katherine",NA,NA
"2382","Kotecha","Mahesh","K"
"2383","Kushen","Robert","A"
"2384","Kent","Muhtar",NA
"2385","Kirkland","Richard","I"
"2386","Kotler","Steven",NA
"2387","Kux","Dennis",NA
"2388","Kent","Philip","I"
"2389","Kirkpatrick","J","David"
"2390","Kourakos","William",NA
"2391","Kwoh","Stewart",NA
"2392","Keohane","Nannerl","O"
"2393","Kirkpatrick","Melanie","M"
"2394","Kovner","Bruce","S"
"2395","Keohane","Robert","O"
"2396","Kishkovsky","Leonid",NA
"2397","Koziol","Peter",NA
"2398","Kerr","Ann","Zwicker"
"2399","Kissel","Mary","E"
"2400","Kraiem","Rub?n",NA
"2401","Labott","Elise",NA
"2402","Kerrey","Bob",NA
"2403","Kissinger","Henry","A"
"2404","Kramek","Robert","E"
"2405","Labowitz","Sarah",NA
"2406","Kerry","Cameron","F"
"2407","Kitfield","James",NA
"2408","Kramer","J","Reed"
"2409","Lachman","Jonathan","S"
"2410","Kerry","Peggy",NA
"2411","Kittrie","Orde","F"
"2412","Kramer","Jane",NA
"2413","Ladd","Edward",NA
"2414","Kessler","Glenn","Andrew"
"2415","Kizer","Karin","L"
"2416","Kramer","Michael",NA
"2417","Lader","Philip",NA
"2418","Kessler","Martha","Neff"
"2419","Klaber","Andrew","David"
"2420","Kramer","Orin","S"
"2421","Ladner","Drew","J"
"2422","Kester","W","Carl"
"2423","Klajn","Tamara",NA
"2424","Kramer","Steven","Philip"
"2425","LaFleur","Vinca",NA
"2426","Ketcham","Janet","W"
"2427","Klarman","Seth","A"
"2428","Kranz","Thomas","F"
"2429","Lagomasino","Maria","Elena"
"2430","Keys","Arthur","B"
"2431","Klatsky","Peter",NA
"2432","Krasner","Stephen","D"
"2433","Lagon","Mark","P"
"2434","Khaishgi","Mohammedulla",NA
"2435","Klein","Edward",NA
"2436","Krasno","Richard","M"
"2437","Lai","Joseph","G"
"2438","Khalilzad","Zalmay","M"
"2439","Klein","George",NA
"2440","Krauss","Clifford",NA
"2441","Laipson","Ellen",NA
"2442","Khan","Amjad","Mahmood"
"2443","Klein","Jacques","Paul"
"2444","Krauthammer","Charles",NA
"2445","Lake","David","A"
"2446","Khan","Noorain","F"
"2447","Klein","Jonathan","David"
"2448","Kravis","Henry","R"
"2449","Lalka","Robert","Tice"
"2450","Khandelwal","Amit","K"
"2451","Klein","Joseph","A"
"2452","Kravis","Marie-Jos?e",NA
"2453","LaMarche","Gara",NA
"2454","Khator","Renu",NA
"2455","Kleine-Ahlbrandt",NA,NA
"2456","Kreek","Mary","Jeanne"
"2457","Lamb","Denis",NA
"2458","Khrushcheva","Nina","L"
"2459","Stephanie","T",NA
"2460","Kreikemeier","Chad",NA
"2461","Lambert","Brett","B"
"2462","Khuri","Nicola","N"
"2463","Klevorick","Caitlin","B"
"2464","Krepinevich","Andrew","F"
"2465","Lambeth","Benjamin","S"
"2466","Kiernan","Robert","Edward"
"2467","Klobuchar","Amy","J"
"2468","Krepon","Michael",NA
"2469","Lamb-Hale","Nicole","Yvette"
"2470","Kiley","Robert","R"
"2471","Klotz","Frank","G"
"2472","Kreps","Sarah","Elizabeth"
"2473","Lampton","David","M"
"2474","Kim","Andrew",NA
"2475","Klurfeld","James","M"
"2476","Kriegel","Jay","L"
"2477","Lan","Iris",NA
"2478","Kim","Andrew","Byong-Soo"
"2479","Knake","Robert","K"
"2480","Krikorian","Victoria","Reznik"
"2481","Land","Richard","D"
"2482","Kim","Ann","S"
"2483","Knapp","Albert","Bruce"
"2484","Krilla","Jeffrey","R"
"2485","Landau","George","W"
"2486","Kim","Hanya","Marie"
"2487","Knapp","Steven",NA
"2488","Krisher","Bernard",NA
"2489","Lander","Eric","S"
"2490","Kim","John","Yohan"
"2491","Knee","Jonathan","A"
"2492","Kristof","Nicholas","D"
"2493","Landow","Charles",NA
"2494","Kim","Spencer","H"
"2495","Knell","Gary","E"
"2496","Kristoff","Sandra","J"
"2497","Lane","Aikojean",NA
"2498","Kim","Sukhan",NA
"2499","Knight","Edward","S"
"2500","Kroeger","Kate","M"
"2501","Lane","Charles","M"
"2502","Kimball","Astri","B"
"2503","Knight","Jessie","J"
"2504","Kroenig","Matthew",NA
"2505","Lane","David","J"
"2506","Kimball","William","F"
"2507","Knudsen","Ciara",NA
"2508","Kronman","Anthony",NA
"2509","Lane","Randall","Arthur"
"2510","Kimmitt","Mark","T"
"2511","Koellner","Laurette","T"
"2512","Townsend",NA,NA
"2513","Lane","Robert","W"
"2514","Kimmitt","Robert","M"
"2515","Kofmehl","Scott","E"
"2516","Krueger","Anne","O"
"2517","Laney","James","T"
"2518","Kimsey","James","V"
"2519","Kogan","Richard","Jay"
"2520","Krulak","Charles","Chandler"
"2521","Langlois","Robert","James"
"2522","Kinane","William","Patrick"
"2523","Koh","Jay","L"
"2524","Ku","Charlotte",NA
"2525","Lanken","Jonathan","P"
"2526","King","Charles","E"
"2527","Kohler","Jeffrey","B"
"2528","Kubarych","Roger","M"
"2529","LaPalombara","Joseph",NA
"2530","King","Elizabeth","Lee"
"2531","Kohn","Donald","L"
"2532","Kuehnast","Kathleen","R"
"2533","Lapham","Lewis","H"
"2534","King","Henry","L"
"2535","Kohut","Andrew",NA
"2536","Kuenstner","Nancy","Jo"
"2537","Lardy","Nicholas","R"
"2538","King","Kay",NA
